maladyId,sourceAccession,slug,name
529,129810,ectrodactyly_and_ectodermal_dysplasia_without_cleft_lip_palate,"ectrodactyly and ectodermal dysplasia without cleft lip/palate"
550,130700,emphysema_hereditary_pulmonary,"emphysema, hereditary pulmonary"
557,131300,camurati_engelmann_disease,"camurati-engelmann disease"
558,131375,enolase_sperm_specific,"enolase, sperm specific"
579,132400,epiphyseal_dysplasia_multiple_1_2,"epiphyseal dysplasia, multiple, 1"
606,133780,exudative_vitreoretinopathy_1,"exudative vitreoretinopathy 1"
670,137215,gastric_cancer_hereditary_diffuse,"gastric cancer, hereditary diffuse"
671,137220,gastric_juice_peptides,"gastric juice peptides"
672,137245,lymphoma_mucosa_associated_lymphoid_type,"lymphoma, mucosa-associated lymphoid type"
704,138930,grant_syndrome,"grant syndrome"
705,138990,granulomatous_disease_chronic_autosomal_dominant_type,"granulomatous disease, chronic, autosomal dominant type"
706,139000,granulosis_rubra_nasi,"granulosis rubra nasi"
2,100070,aortic_aneurysm_familial_abdominal_1,"aortic aneurysm, familial abdominal, 1"
3,100100,prune_belly_syndrome,"prune belly syndrome"
11,101000,neurofibromatosis_type_ii,"neurofibromatosis, type ii"
43,103285,adult_syndrome,"adult syndrome"
76,105563,anal_sphincter_dysplasia,"anal sphincter dysplasia"
103,106900,anonychia_ectrodactyly_2,"anonychia-ectrodactyly"
111,107290,antipyrine_metabolism,"antipyrine metabolism"
113,107440,antiviral_state_repressor_regulator_of,"antiviral state repressor, regulator of"
127,108010,arteriovenous_malformations_of_the_brain,"arteriovenous malformations of the brain"
155,109050,aurocephalosyndactyly,"aurocephalosyndactyly"
213,112450,brachydactyly_preaxial_with_hallux_varus_and_thumb_abduction_2,"brachydactyly, preaxial, with hallux varus and thumb abduction"
220,113100,brachydactyly_type_c_2,"brachydactyly, type c"
225,113400,brachydactyly_nystagmus_cerebellar_ataxia,"brachydactyly-nystagmus-cerebellar ataxia"
227,113470,brachymesomelia_renal_syndrome_2,"brachymesomelia-renal syndrome"
255,114450,cancer_familial_with_in_vitro_radioresistance,"cancer, familial, with in vitro radioresistance"
259,114580,candidiasis_familial_1,"candidiasis, familial, 1"
292,116800,cataract_5_multiple_types,"cataract 5, multiple types"
315,118230,charcot_marie_tooth_disease_guadalajara_neuronal_type,"charcot-marie-tooth disease, guadalajara neuronal type"
319,118350,chemodectoma_intraabdominal_with_cutaneous_angiolipomas,"chemodectoma, intraabdominal, with cutaneous angiolipomas"
336,119000,cleft_chin,"cleft chin"
370,121201,seizures_benign_familial_neonatal_2,"seizures, benign familial neonatal, 2"
382,122000,corneal_dystrophy_posterior_polymorphous_1,"corneal dystrophy, posterior polymorphous, 1"
386,122430,corneal_hypesthesia_with_retinal_abnormalities_sensorineural_deafness_unusual_facies_persistent_ductus_arteriosus_and_mental_retardation,"corneal hypesthesia with retinal abnormalities, sensorineural deafness, unusual facies, persistent ductus arteriosus, and mental retardation"
403,123150,jackson_weiss_syndrome,"jackson-weiss syndrome"
408,123450,cri_du_chat_syndrome,"cri-du-chat syndrome"
436,125310,cerebral_arteriopathy_autosomal_dominant_with_subcortical_infarcts_and_leukoencephalopathy_type_1,"cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1"
453,125590,dermatoglyphics_fingerprint_pattern,"dermatoglyphics--fingerprint pattern"
458,125640,dermoodontodysplasia,"dermoodontodysplasia"
545,130200,electroencephalographic_peculiarity_14_and_6_per_sec_positive_spike_phenomenon,"electroencephalographic peculiarity: 14 and 6 per sec. positive spike phenomenon"
563,131460,epiblepharon_of_upper_lid,"epiblepharon of upper lid"
607,133800,eyebrow_whorl_in,"eyebrow, whorl in"
609,134000,facial_hypertrichosis,"facial hypertrichosis"
616,134520,factors_viii_ix_and_xi_combined_deficiency_of,"factors viii, ix and xi, combined deficiency of"
643,136400,focal_epithelial_hyperplasia_of_the_oral_mucosa,"focal epithelial hyperplasia of the oral mucosa"
648,136550,macular_dystrophy_retinal_1_north_carolina_type,"macular dystrophy, retinal, 1, north carolina type"
651,136590,fragile_site_20p11,"fragile site 20p11"
674,137280,gastritis_familial_giant_hypertrophic,"gastritis, familial giant hypertrophic"
721,140000,hand_foot_genital_syndrome,"hand-foot-genital syndrome"
725,140450,heart_hand_syndrome_spanish_type,"heart-hand syndrome, spanish type"
755,142690,acne_inversa_familial_1,"acne inversa, familial, 1"
758,142770,hla_modifier,"hla modifier"
772,143850,orthostatic_hypotensive_disorder_streeten_type,"orthostatic hypotensive disorder, streeten type"
828,146500,multiple_system_atrophy_1,"multiple system atrophy 1"
857,147480,cholestasis_intrahepatic_of_pregnancy_1,"cholestasis, intrahepatic, of pregnancy, 1"
17,101805,acrofacial_dysostosis_catania_type_2,"acrofacial dysostosis, catania type"
21,102000,acroleukopathy_symmetric,"acroleukopathy, symmetric"
68,105150,cerebral_amyloid_angiopathy_cst3_related,"cerebral amyloid angiopathy, cst3-related"
126,108000,arteries_anomalies_of,"arteries, anomalies of"
128,108050,arteritis_familial_granulomatous_with_juvenile_polyarthritis,"arteritis, familial granulomatous, with juvenile polyarthritis"
146,108760,atresia_of_external_auditory_canal_and_conductive_deafness,"atresia of external auditory canal and conductive deafness"
183,110250,blood_group_abo_suppressor,"blood group--abo suppressor"
189,110800,blood_group_i_system,"blood group, i system"
217,112800,brachydactyly_type_a4_2,"brachydactyly, type a4"
235,113650,branchiootorenal_syndrome_1,"branchiootorenal syndrome 1"
240,113800,epidermolytic_hyperkeratosis,"epidermolytic hyperkeratosis"
287,116200,cataract_1_multiple_types,"cataract 1, multiple types"
296,116920,leukocyte_adhesion_deficiency_type_i,"leukocyte adhesion deficiency, type i"
327,118651,chondrodysplasia_punctata_tibia_metacarpal_type_2,"chondrodysplasia punctata, tibia-metacarpal type"
340,119530,orofacial_cleft_1_2,"orofacial cleft 1"
362,120450,comedones_familial_dyskeratotic,"comedones, familial dyskeratotic"
369,121200,seizures_benign_familial_neonatal_1,"seizures, benign familial neonatal, 1"
379,121820,corneal_dystrophy_epithelial_basement_membrane,"corneal dystrophy, epithelial basement membrane"
387,122440,corneodermatoosseous_syndrome,"corneodermatoosseous syndrome"
388,122450,corneal_hypesthesia_familial,"corneal hypesthesia, familial"
400,123000,craniometaphyseal_dysplasia_autosomal_dominant,"craniometaphyseal dysplasia, autosomal dominant"
419,123997,cytochrome_c_oxidase_subunit_7a2_pseudogene_2,"cytochrome c oxidase, subunit 7a2, pseudogene 2"
441,125420,dentin_dysplasia_type_ii,"dentin dysplasia, type ii"
452,125580,dermatoglyphics_finger_ridge_count,"dermatoglyphics--finger ridge count"
455,125600,dermatosis_papulosa_nigra,"dermatosis papulosa nigra"
462,125851,maturity_onset_diabetes_of_the_young_type_2,"maturity-onset diabetes of the young, type 2"
463,125852,diabetes_mellitus_insulin_dependent_2,"diabetes mellitus, insulin-dependent, 2"
491,127300,leri_weill_dyschondrosteosis,"leri-weill dyschondrosteosis"
507,128290,ear_antitragus_tag_at_base_of,"ear antitragus, tag at base of"
516,128950,earlobe_crease,"earlobe crease"
542,130090,ehlers_danlos_syndrome_autosomal_dominant_type_unspecified,"ehlers-danlos syndrome, autosomal dominant, type unspecified"
573,131950,epidermolysis_bullosa_simplex_ogna_type,"epidermolysis bullosa simplex, ogna type"
592,133200,erythrokeratodermia_variabilis_et_progressiva_1,"erythrokeratodermia variabilis et progressiva 1"
600,133600,exostoses_of_heel,"exostoses of heel"
605,133750,extrasystoles_multiform_ventricular_with_short_stature_hyperpigmentation_and_microcephaly,"extrasystoles, multiform ventricular, with short stature, hyperpigmentation and microcephaly"
615,134510,factor_viii_and_factor_ix_combined_deficiency_of,"factor viii and factor ix, combined deficiency of"
617,134540,factor_ix_and_factor_xi_combined_deficiency_of,"factor ix and factor xi, combined deficiency of"
637,136100,fingers_relative_length_of,"fingers, relative length of"
642,136300,flynn_aird_syndrome_2,"flynn-aird syndrome"
681,137575,gigantiform_cementoma_familial,"gigantiform cementoma, familial"
720,139900,hand_skill_relative,"hand skill, relative"
722,140300,hashimoto_thyroiditis,"hashimoto thyroiditis"
739,141750,alpha_thalassemia_mental_retardation_syndrome_chromosome_16_related,"alpha-thalassemia/mental retardation syndrome, chromosome 16-related"
747,142470,fetal_hemoglobin_quantitative_trait_locus_2,"fetal hemoglobin quantitative trait locus 2"
753,142669,beukes_hip_dysplasia,"beukes hip dysplasia"
14,101400,saethre_chotzen_syndrome,"saethre-chotzen syndrome"
15,101600,pfeiffer_syndrome,"pfeiffer syndrome"
23,102150,acromegaloid_facial_appearance_syndrome,"acromegaloid facial appearance syndrome"
32,102530,spermatogenic_failure_6,"spermatogenic failure 6"
57,104290,alternating_hemiplegia_of_childhood_1,"alternating hemiplegia of childhood 1"
64,104530,amelogenesis_imperfecta_type_ia,"amelogenesis imperfecta, type ia"
65,104570,ameloonychohypohidrotic_syndrome,"ameloonychohypohidrotic syndrome"
73,105400,amyotrophic_lateral_sclerosis_1,"amyotrophic lateral sclerosis 1"
98,106400,ankylosing_vertebral_hyperostosis_with_tylosis,"ankylosing vertebral hyperostosis with tylosis"
157,109120,axenfeld_rieger_anomaly_with_partially_absent_eye_muscles_distinctive_face_hydrocephaly_and_skeletal_abnormalities,"axenfeld-rieger anomaly with partially absent eye muscles, distinctive face, hydrocephaly, and skeletal abnormalities"
202,112200,blue_rubber_bleb_nevus,"blue rubber bleb nevus"
216,112700,brachydactyly_type_a3_2,"brachydactyly, type a3"
257,114500,colorectal_cancer,"colorectal cancer"
321,118420,chiari_malformation_type_i,"chiari malformation type i"
330,118750,choreoathetosis_familial_inverted,"choreoathetosis, familial inverted"
354,120200,coloboma_ocular_autosomal_dominant,"coloboma, ocular, autosomal dominant"
381,121900,corneal_dystrophy_groenouw_type_i,"corneal dystrophy, groenouw type i"
391,122580,costocoracoid_ligament_congenitally_short_2,"costocoracoid ligament, congenitally short"
417,123853,cyprus_facial_neuromusculoskeletal_syndrome,"cyprus facial neuromusculoskeletal syndrome"
421,124100,danubian_endemic_familial_nephropathy,"danubian endemic familial nephropathy"
423,124300,darwinian_tubercle_of_pinna,"darwinian tubercle of pinna"
427,124700,deafness_mid_tone_neural,"deafness, mid-tone neural"
432,125230,deafness_craniofacial_syndrome_2,"deafness-craniofacial syndrome"
449,125540,dermal_ridges_patternless,"dermal ridges, patternless"
487,126950,dwarfism_with_tall_vertebrae,"dwarfism with tall vertebrae"
494,127500,dyschromatosis_universalis_hereditaria_1,"dyschromatosis universalis hereditaria 1"
532,129850,edinburgh_malformation_syndrome,"edinburgh malformation syndrome"
551,130710,emphysema_congenital_lobar,"emphysema, congenital lobar"
562,131450,epiblepharon_of_lower_lid,"epiblepharon of lower lid"
576,132090,epilepsy_benign_occipital,"epilepsy, benign occipital"
587,133000,erythema_palmare_hereditarium,"erythema palmare hereditarium"
595,133260,esterase_b,"esterase b"
620,134750,felty_syndrome,"felty syndrome"
634,135900,coffin_siris_syndrome_1,"coffin-siris syndrome 1"
638,136120,fish_eye_disease,"fish-eye disease"
646,136520,foveal_hypoplasia_1,"foveal hypoplasia 1"
647,136540,fragile_site_10q23,"fragile site 10q23"
652,136600,friedreich_ataxia_so_called_with_optic_atrophy_and_sensorineural_deafness,"friedreich ataxia, so-called, with optic atrophy and sensorineural deafness"
663,137000,futcher_line,"futcher line"
676,137370,genu_valgum_st_helena_familial_2,"genu valgum, st. helena familial"
684,137700,glaucoma_with_elevated_episcleral_venous_pressure,"glaucoma with elevated episcleral venous pressure"
719,139800,hand_clasping_pattern,"hand clasping pattern"
723,140350,hawkinsinuria,"hawkinsinuria"
743,142340,diaphragmatic_hernia_congenital,"diaphragmatic hernia, congenital"
756,142700,developmental_dysplasia_of_the_hip_1,"developmental dysplasia of the hip 1"
761,142946,holoprosencephaly_4_2,"holoprosencephaly 4"
764,143050,humeroradial_synostosis,"humeroradial synostosis"
767,143200,wagner_vitreoretinopathy,"wagner vitreoretinopathy"
770,143470,hyperalphalipoproteinemia_1,"hyperalphalipoproteinemia 1"
7,100675,acetaminophen_metabolism,"acetaminophen metabolism"
62,104500,amelogenesis_imperfecta_type_ib,"amelogenesis imperfecta, type ib"
82,105800,aneurysm_intracranial_berry_1,"aneurysm, intracranial berry, 1"
92,106230,aniridia_microcornea_and_spontaneously_reabsorbed_cataract,"aniridia, microcornea, and spontaneously reabsorbed cataract"
108,107200,anosmia_isolated_congenital,"anosmia, isolated congenital"
116,107550,aortic_arch_interruption_facial_palsy_and_retinal_coloboma,"aortic arch interruption, facial palsy, and retinal coloboma"
136,108390,asparagus_specific_smell_hypersensitivity,"asparagus, specific smell hypersensitivity"
139,108500,episodic_ataxia_type_2_2,"episodic ataxia, type 2"
141,108650,spastic_ataxia_7_autosomal_dominant,"spastic ataxia 7, autosomal dominant"
153,108990,attached_cell_antigen_2837,"attached cell antigen 28.3.7"
173,109730,aortic_valve_disease_1,"aortic valve disease 1"
186,110450,blood_group_colton_system,"blood group, colton system"
196,111500,blood_group_private_systems,"blood group--private systems"
215,112600,brachydactyly_type_a2_2,"brachydactyly, type a2"
238,113721,breast_cancer_related_regulator_of_tp53,"breast cancer-related regulator of tp53"
241,113900,progressive_familial_heart_block_type_ia,"progressive familial heart block, type ia"
253,114290,campomelic_dysplasia,"campomelic dysplasia"
254,114300,arthrogryposis_distal_type_3,"arthrogryposis, distal, type 3"
272,115210,cardiomyopathy_familial_restrictive_1,"cardiomyopathy, familial restrictive, 1"
309,118000,cervical_vertebral_bridge,"cervical vertebral bridge"
318,118330,cheilitis_glandularis,"cheilitis glandularis"
357,120400,coloboma_of_macula_with_type_b_brachydactyly,"coloboma of macula with type b brachydactyly"
360,120435,lynch_syndrome_i,"lynch syndrome i"
385,122400,epithelial_recurrent_erosion_dystrophy,"epithelial recurrent erosion dystrophy"
392,122600,spondylocostal_dysostosis_5,"spondylocostal dysostosis 5"
405,123270,creatine_kinase_brain_type_ectopic_expression_of,"creatine kinase, brain type, ectopic expression of"
443,125460,deoxyribose_5_phosphate_aldolase_deficiency,"deoxyribose-5-phosphate aldolase deficiency"
447,125520,cayler_cardiofacial_syndrome,"cayler cardiofacial syndrome"
459,125700,diabetes_insipidus_neurohypophyseal,"diabetes insipidus, neurohypophyseal"
474,126300,distichiasis,"distichiasis"
485,126850,duodenal_ulcer_hyperpepsinogenemic_i,"duodenal ulcer, hyperpepsinogenemic i"
521,129400,rapp_hodgkin_syndrome,"rapp-hodgkin syndrome"
533,129900,ectrodactyly_ectodermal_dysplasia_and_cleft_lip_palate_syndrome_1_2,"ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 1"
543,130100,elastosis_perforans_serpiginosa,"elastosis perforans serpiginosa"
570,131850,epidermolysis_bullosa_dystrophica_pretibial,"epidermolysis bullosa dystrophica, pretibial"
575,132000,epidermolysis_bullosa_with_congenital_localized_absence_of_skin_and_deformity_of_nails,"epidermolysis bullosa with congenital localized absence of skin and deformity of nails"
584,132800,multiple_self_healing_squamous_epithelioma_2,"multiple self-healing squamous epithelioma"
589,133100,erythrocytosis_familial_1,"erythrocytosis, familial, 1"
610,134200,facial_palsy_familial_recurrent_peripheral,"facial palsy, familial recurrent peripheral"
622,134900,fibrinolytic_defect,"fibrinolytic defect"
627,135400,hypertrichosis_congenital_generalized_with_or_without_gingival_hyperplasia,"hypertrichosis, congenital generalized, with or without gingival hyperplasia"
640,136150,flood_factor_deficiency,"flood factor deficiency"
664,137040,gallbladder_agenesis_of,"gallbladder, agenesis of"
678,137440,gerstmann_straussler_disease,"gerstmann-straussler disease"
682,137580,gilles_de_la_tourette_syndrome,"gilles de la tourette syndrome"
694,138070,glucoglycinuria,"glucoglycinuria"
19,101850,palmoplantar_keratoderma_punctate_type_iii,"palmoplantar keratoderma, punctate type iii"
42,103230,adrenocortical_hypofunction_chronic_primary_congenital,"adrenocortical hypofunction, chronic primary congenital"
58,104300,alzheimer_disease,"alzheimer disease"
88,106100,angioedema_hereditary_type_i,"angioedema, hereditary, type i"
89,106190,anhidrosis_isolated_with_normal_sweat_glands,"anhidrosis, isolated, with normal sweat glands"
133,108300,stickler_syndrome_type_i,"stickler syndrome, type i"
143,108720,atelosteogenesis_type_i,"atelosteogenesis, type i"
144,108721,atelosteogenesis_type_iii,"atelosteogenesis, type iii"
151,108980,pr_interval_variation_in,"pr interval, variation in"
152,108985,sveinsson_chorioretinal_atrophy,"sveinsson chorioretinal atrophy"
197,111600,blood_group_langereis_system,"blood group, langereis system"
199,112000,blood_group_ul_system,"blood group--ul system"
200,112050,blood_group_wright_antigen,"blood group--wright antigen"
248,114065,calcific_aortic_disease_with_immunologic_abnormalities_familial,"calcific aortic disease with immunologic abnormalities, familial"
275,115310,paragangliomas_4,"paragangliomas 4"
278,115470,cat_eye_syndrome,"cat eye syndrome"
298,117000,central_core_disease_of_muscle,"central core disease of muscle"
300,117210,spinocerebellar_ataxia_31,"spinocerebellar ataxia 31"
308,117900,cervical_rib,"cervical rib"
323,118450,alagille_syndrome_1,"alagille syndrome 1"
332,118830,chylomicronemia_familial_due_to_circulating_inhibitor_of_lipoprotein_lipase,"chylomicronemia, familial, due to circulating inhibitor of lipoprotein lipase"
334,118900,cirrhosis_familial,"cirrhosis, familial"
353,120100,familial_cold_autoinflammatory_syndrome_1,"familial cold autoinflammatory syndrome 1"
367,121050,contractural_arachnodactyly_congenital,"contractural arachnodactyly, congenital"
374,121350,coracoclavicular_joint_anomalous,"coracoclavicular joint, anomalous"
377,121450,corneal_degeneration_ribbonlike_with_deafness,"corneal degeneration, ribbonlike, with deafness"
393,122700,coumarin_resistance,"coumarin resistance"
402,123100,craniosynostosis_1,"craniosynostosis 1"
424,124480,deafness_congenital_with_onychodystrophy_autosomal_dominant,"deafness, congenital, with onychodystrophy, autosomal dominant"
431,125050,deafness_with_anhidrotic_ectodermal_dysplasia,"deafness with anhidrotic ectodermal dysplasia"
439,125370,dentatorubral_pallidoluysian_atrophy,"dentatorubral-pallidoluysian atrophy"
454,125595,dermatopathia_pigmentosa_reticularis,"dermatopathia pigmentosa reticularis"
473,126250,distal_osteosclerosis,"distal osteosclerosis"
493,127400,dyschromatosis_symmetrica_hereditaria,"dyschromatosis symmetrica hereditaria"
496,127600,dyskeratosis_hereditary_benign_intraepithelial,"dyskeratosis, hereditary benign intraepithelial"
509,128400,ear_flare,"ear flare"
511,128600,ear_malformation,"ear malformation"
518,129000,earring_holes_natural,"earring holes, natural"
519,129100,ears_ability_to_move,"ears, ability to move"
525,129540,ectodermal_dysplasia_syndrome_with_distinctive_facial_appearance_and_preaxial_polydactyly_of_feet,"ectodermal dysplasia syndrome with distinctive facial appearance and preaxial polydactyly of feet"
539,130060,ehlers_danlos_syndrome_arthrochalasia_type_1,"ehlers-danlos syndrome, arthrochalasia type, 1"
544,130190,electroencephalographic_pattern_beta_frequency_quantitative_trait_locus,"electroencephalographic pattern, beta frequency, quantitative trait locus"
571,131880,epidermolysis_bullosa_with_deficiency_of_galactosylhydroxylysyl_glucosyltransferase,"epidermolysis bullosa with deficiency of galactosylhydroxylysyl glucosyltransferase"
608,133900,hemifacial_hyperplasia,"hemifacial hyperplasia"
629,135550,fibromatosis_gingival_with_progressive_deafness,"fibromatosis, gingival, with progressive deafness"
12,101120,acrocephalopolysyndactyly_type_iii,"acrocephalopolysyndactyly type iii"
29,102500,hajdu_cheney_syndrome,"hajdu-cheney syndrome"
36,102730,adenosine_deaminase_elevated_hemolytic_anemia_due_to,"adenosine deaminase, elevated, hemolytic anemia due to"
47,103500,tietz_albinism_deafness_syndrome,"tietz albinism-deafness syndrome"
75,105550,frontotemporal_dementia_and_or_amyotrophic_lateral_sclerosis_1,"frontotemporal dementia and/or amyotrophic lateral sclerosis 1"
78,105570,androstenone_ability_to_smell,"androstenone, ability to smell"
91,106220,aniridia_and_absent_patella,"aniridia and absent patella"
96,106280,ankyloglossia_with_or_without_tooth_anomalies,"ankyloglossia with or without tooth anomalies"
104,106990,anonychia_onychodystrophy_with_brachydactyly_type_b_and_ectrodactyly,"anonychia-onychodystrophy with brachydactyly type b and ectrodactyly"
117,107600,aplasia_cutis_congenita_nonsyndromic,"aplasia cutis congenita, nonsyndromic"
118,107640,apnea_central_sleep,"apnea, central sleep"
120,107700,appendicitis_proneness_to,"appendicitis, proneness to"
123,107850,arm_folding_preference,"arm folding preference"
159,109150,machado_joseph_disease,"machado-joseph disease"
163,109350,gastroesophageal_reflux,"gastroesophageal reflux"
167,109543,leukemia_chronic_lymphocytic_2,"leukemia, chronic lymphocytic 2"
193,111250,blood_group_system_landsteiner_wiener,"blood group system, landsteiner-wiener"
198,111620,radin_blood_group_antigen,"radin blood group antigen"
207,112310,boomerang_dysplasia,"boomerang dysplasia"
209,112370,brachmann_de_lange_like_facial_changes_with_microcephaly_metatarsus_adductus_and_developmental_delay,"brachmann-de lange-like facial changes with microcephaly, metatarsus adductus, and developmental delay"
218,112910,osebold_remondini_syndrome,"osebold-remondini syndrome"
231,113500,brachyolmia_type_3,"brachyolmia type 3"
232,113600,branchial_cleft_anomalies,"branchial cleft anomalies"
236,113670,hypertrophy_of_the_breast_juvenile,"hypertrophy of the breast, juvenile"
249,114100,basal_ganglia_calcification_idiopathic_childhood_onset,"basal ganglia calcification, idiopathic, childhood-onset"
265,115000,cardiac_arrhythmia,"cardiac arrhythmia"
279,115645,cataract_aberrant_oral_frenula_and_growth_retardation,"cataract, aberrant oral frenula, and growth retardation"
305,117650,cerebrocostomandibular_syndrome,"cerebrocostomandibular syndrome"
312,118200,charcot_marie_tooth_disease_demyelinating_type_1b,"charcot-marie-tooth disease, demyelinating, type 1b"
328,118670,chondronectin,"chondronectin"
346,119650,cleidorhizomelic_syndrome,"cleidorhizomelic syndrome"
355,120300,coloboma_of_macula,"coloboma of macula"
361,120440,colonic_varices_without_portal_hypertension,"colonic varices without portal hypertension"
364,120502,branchiootic_syndrome_2,"branchiootic syndrome 2"
376,121400,cornea_plana_1_autosomal_dominant,"cornea plana 1, autosomal dominant"
384,122200,corneal_dystrophy_lattice_type_i,"corneal dystrophy, lattice type i"
397,122860,craniodiaphyseal_dysplasia_autosomal_dominant,"craniodiaphyseal dysplasia, autosomal dominant"
475,126320,distichiasis_with_congenital_anomalies_of_the_heart_and_peripheral_vasculature,"distichiasis with congenital anomalies of the heart and peripheral vasculature"
508,128300,ear_exostoses,"ear exostoses"
510,128500,ear_folding,"ear folding"
546,130300,electroencephalographic_peculiarity_fronto_precentral_beta_wave_groups,"electroencephalographic peculiarity: fronto-precentral beta wave groups"
548,130600,elliptocytosis_2,"elliptocytosis 2"
549,130650,beckwith_wiedemann_syndrome,"beckwith-wiedemann syndrome"
553,130900,amelogenesis_imperfecta_type_iiia,"amelogenesis imperfecta, type iiia"
568,131760,epidermolysis_bullosa_simplex_dowling_meara_type,"epidermolysis bullosa simplex, dowling-meara type"
6,100600,acanthosis_nigricans,"acanthosis nigricans"
8,100700,achard_syndrome,"achard syndrome"
25,102300,restless_legs_syndrome_1,"restless legs syndrome 1"
34,102660,adamantinoma_of_long_bones,"adamantinoma of long bones"
59,104310,alzheimer_disease_2_2,"alzheimer disease 2"
74,105500,amyotrophic_lateral_sclerosis_parkinsonism_dementia_complex_1,"amyotrophic lateral sclerosis-parkinsonism/dementia complex 1"
93,106240,anisocoria,"anisocoria"
97,106300,spondyloarthropathy_1,"spondyloarthropathy 1"
106,107000,nail_disorder_nonsyndromic_congenital_6,"nail disorder, nonsyndromic congenital, 6"
109,107250,anterior_segment_dysgenesis_1,"anterior segment dysgenesis 1"
121,107750,arbitrary_restriction_polymorphism_1,"arbitrary restriction polymorphism 1"
130,108120,arthrogryposis_distal_type_1a,"arthrogryposis, distal, type 1a"
135,108340,aryl_hydrocarbon_hydroxylase_inducibility,"aryl hydrocarbon hydroxylase inducibility"
147,108770,atrial_standstill_1,"atrial standstill 1"
148,108800,atrial_septal_defect_1,"atrial septal defect 1"
149,108900,atrial_septal_defect_7_with_or_without_atrioventricular_conduction_defects,"atrial septal defect 7 with or without atrioventricular conduction defects"
171,109660,beta_amino_acids_renal_transport_of,"beta-amino acids, renal transport of"
187,110500,blood_group_diego_system_2,"blood group, diego system"
208,112350,weismann_netter_syndrome,"weismann-netter syndrome"
211,112430,long_thumb_brachydactyly_syndrome,"long-thumb brachydactyly syndrome"
264,114900,carcinoid_tumors_intestinal,"carcinoid tumors, intestinal"
271,115200,cardiomyopathy_dilated_1a,"cardiomyopathy, dilated, 1a"
293,116850,catatrichy,"catatrichy"
302,117360,spinocerebellar_ataxia_29,"spinocerebellar ataxia 29"
303,117550,sotos_syndrome_1,"sotos syndrome 1"
306,117800,apocrine_gland_secretion_variation_in,"apocrine gland secretion, variation in"
322,118430,chlorpropamide_alcohol_flushing,"chlorpropamide-alcohol flushing"
411,123550,cryoglobulinemia_familial_mixed,"cryoglobulinemia, familial mixed"
413,123560,cryptomicrotia_brachydactyly_syndrome_2,"cryptomicrotia-brachydactyly syndrome"
